;idle_time;cycle_count;steps;;;;episodes;Episode duration;Idle time operator;;recirculations;;;;;;;;;;;
1x2;0;0;967.46;;;;;;;;;;;;;episodes;orders processed;Episode duration;Idle time operator;;recirculations;
2x2;0;0.01;1432.17;;;;No.;Seconds;Seconds;Percentage;Count;Percentage;;;;No.;No.;Seconds;Seconds;Percentage;Count;Percentage
2x3;0;0.04;2493.22;;;;;;;;;;;;1x2 design;100;50;967;0;0.000;0;0.000
3x3;0;0.13;2758.21;;;1x2 design;100;967;0;0.000;0;0.000;50;;2x2 design;100;150;1432;0;0.000;0;0.000
4x3;2.03;0.52;2886.52;;;;;;;;;;;;2x3 design;100;150;2493;0;0.000;0;0.000
5x3;27.73;1.23;2994.97;;;2x2 design;100;1432;0;0.000;0;0.000;150;;3x3 design;100;250;2758;0;0.000;0;0.000
;;;;;;;;;;;;;;;4x3 design;100;350;2887;2;0.001;1;0.003
;;;;;;2x3 design;100;2493;0;0.000;0;0.000;150;;5x3 design;100;450;2995;28;0.009;1;0.002
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;3x3 design;100;2758;0;0.000;0;0.000;250;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;4x3 design;100;2887;2;0.001;1;0.003;350;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;5x3 design;100;2995;28;0.009;1;0.002;450;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
