,configuration,gamma,idle_time,cycle_count,steps,items_processed,reward,idle_percent,cycle_percent
buffersize_01,2x2,0.99375,358.24,73.71,1623.89,147.69,217.53,0.2206060755346729,0.49908592321755024
buffersize_02,2x2,0.99375,242.34,111.21,1563.7,146.16,100.35,0.1549785764532839,0.7608784893267652
buffersize_03,2x2,0.99375,194.65,115.65,1559.66,149.26,94.17,0.1248028416449739,0.7748224574567869
buffersize_04,2x2,0.99375,1.7,10.64,1483.46,151.02,420.87,0.0011459695576557507,0.070454244470931
buffersize_05,2x2,0.99375,1.48,6.44,1477.76,151.06,428.85,0.001001515807708965,0.042632066728452274
buffersize_06,2x2,0.99375,1.13,5.88,1478.04,151.06,435.39,0.000764525993883792,0.03892493049119555
buffersize_07,2x2,0.99375,0.64,14.69,1474.4,151.02,407.85,0.00043407487791644056,0.0972718845186068
buffersize_08,2x2,0.99375,0.0,6.28,1490.24,151.08,436.89,0.0,0.041567381519724646
buffersize_09,2x2,0.99375,2.27,3.84,1490.03,151.04,435.0,0.0015234592592095462,0.025423728813559324
buffersize_10,2x2,0.99375,0.0,9.57,1472.45,151.03,430.5,0.0,0.06336489439184269
