;idle_time;cycle_count;steps;items_processed;;;;;;;;;;;;;
1x2;0;2.37;1535.41;81;;;;;;;;;;;;;
2x2;0.07;1.41;776.26;81.01;;;;;;;;;;;;;
2x3;110.37;51.69;1367.34;78.98;;;;;;;;;;;;;
3x3;485.69;134.85;1050.99;79.69;;;;;;;;;;;;;
4x3;3237;385.13;1070;27.23;;;;;;;;;;;;;
5x3;3091.73;338.95;1050.07;61.82;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;DRL without pre-train;;;;;DRL with pre-train;;;
;;;;;;;;;idle;;cycle;;;idle;;cycle;
;;;;;;;;0.46;0.0003;0.23;0.0023;1521.3;0;0.0000;2.37;0.0237;1535.41
;;;;;;;;0.22;0.0003;0.05;0.0005;765.8;0.07;0.0001;1.41;0.0141;776.26
;;;;;;;;16128.13;1.9601;97.74;0.9774;8228.08;110.37;0.0807;51.69;0.5169;1367.34
;;;;;;;;32145.13;3.2142;45.23;0.4523;10001;485.69;0.4621;134.85;1.3485;1050.99
;;;;;;;;39429.86;96.8198;349.51;3.4951;407.25;3237;3.0252;385.13;3.8513;1070
;;;;;;;;49210.93;4.9206;0.03;0.0003;10001;3091.73;2.9443;338.95;3.3895;1050.07
;;;;;;;;;;;;;;;;;
