;;heuristic;;;DRL;;
;items processed;idle time;cycle count;episode length;idle time;cycle count;episode length
;;(s);no.;(s);(s);no.;(s)
buffer size 10;150;0;0.12;1408.1;0;0.8;1441.62
buffer size 9;150;0.06;0.24;1441.16;0;0.38;1430.59
buffer size 8;150;0;0;1423.88;22.2;5.95;1431.98
buffer size 7;150;0;0.02;1424.32;0;3.75;1426.55
buffer size 6;150;0;0.16;1410.04;0.59;0.55;1439.41
buffer size 5;150;1.22;1.86;1433.12;2.21;3.78;1433.28
buffer size 4;150;29.12;31.72;1443.44;2;0.81;1436.16
buffer size 3;150;118.76;120.62;1492.12;7.32;2.64;1448.66
buffer size 2;150;382.98;287.54;1635.74;99.52;35.39;1478.42
buffer size 1;150;335.62;261.96;1622.38;62.46;32.79;1462.96
